#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 20:13
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
P2VSEL01;Všelibice;01.04.2016;31.12.2023;14.950609;50.648954;392

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Srážkomìr;01.04.2016;31.12.2023;1

PRVEK
Denní úhrn srážek [SRA.07:00, mm]

Popis:
Hodnota - hodnota prvku
Pøíznak - rozšiøující informace o hodnotì

Pøíznak;Popis
M;Úhrn mimoøádnì z manuálního srážkomìru
T;Nemìøitelné množství

DATA
Rok;Mìsíc;Den;Hodnota;Pøíznak
2017;05;4;3;
2017;05;5;1.6;
2017;05;6;0;
2017;05;7;0;
2017;05;8;0;
2017;05;9;0;
2017;05;10;0;
2017;05;11;0;
2017;05;12;10;
2017;05;13;1;
2017;05;14;7.7;
2017;05;15;4.1;
2017;05;16;0;
2017;05;17;0;
2017;05;18;0;
2017;05;19;0;
2017;05;20;0;
2017;05;21;0;
2017;05;22;0;
2017;05;23;5.4;
2017;05;24;0;
2017;05;25;0;
2017;05;26;0;
2017;05;27;0;
2017;05;28;0;
2017;05;29;0;
2017;05;30;10.8;
2017;05;31;0;
2017;06;1;0;
2017;06;2;0;
2017;06;3;0;
2017;06;4;8.4;
2017;06;5;.3;
2017;06;6;14.9;
2017;06;7;0;
2017;06;8;0;
2017;06;9;7.6;
2017;06;10;0;
2017;06;11;0;
2017;06;12;.2;
2017;06;13;0;
2017;06;14;0;
2017;06;15;8;
2017;06;16;3.6;
2017;06;17;0;
2017;06;18;0;
2017;06;19;0;
2017;06;20;0;
2017;06;21;0;
2017;06;22;31.2;
2017;06;23;0;
2017;06;24;0;
2017;06;25;0;
2017;06;26;0;
2017;06;27;0;
2017;06;28;10;
2017;06;29;22.6;
2017;06;30;0;
2017;07;1;5.1;
2017;07;2;0;
2017;07;3;0;
2017;07;4;0;
2017;07;5;0;
2017;07;6;1;
2017;07;7;1.5;
2017;07;8;0;
2017;07;9;0;
2017;07;10;.1;
2017;07;11;10.1;
2017;07;12;7.1;
2017;07;13;0;
2017;07;14;1.5;
2017;07;15;4.2;
2017;07;16;0;
2017;07;17;0;
2017;07;18;0;
2017;07;19;0;
2017;07;20;8.5;
2017;07;21;0;
2017;07;22;17;
2017;07;23;4.2;
2017;07;24;17.1;
2017;07;25;0;
2017;07;26;19;
2017;07;27;7.4;
2017;07;28;5.8;
2017;07;29;0;
2017;07;30;.5;
2017;07;31;1.9;
2017;08;1;5;
2017;08;2;0;
2017;08;3;1.2;
2017;08;4;0;
2017;08;5;2;
2017;08;6;0;
2017;08;7;0;
2017;08;8;1.6;
2017;08;9;.7;
2017;08;10;.5;
2017;08;11;22.1;
